DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,LLAVE_MUNICIPIO,VERSION,AREA,LATITUD,LONGITUD,TSP16_HOG,STP27_PERS
18,1,FLORENCIA,18001,COLOMBIA - 18001,2018,2547637532,1.749138704,-75.55823906,51430,156789
18,29,ALBANIA,18029,COLOMBIA - 18029,2018,414122070.2,1.22786549,-75.88232651,1559,4514
18,94,BELÉN DE LOS ANDAQUÍES,18094,COLOMBIA - 18094,2018,1191618572,1.500923003,-75.87564542,3161,9075
18,247,EL DONCELLO,18247,COLOMBIA - 18247,2018,1106076151,1.791385903,-75.19394415,6129,17775
18,256,EL PAUJÍL,18256,COLOMBIA - 18256,2018,1234734145,1.617746356,-75.23404333,5848,13014
18,410,LA MONTAÑITA,18410,COLOMBIA - 18410,2018,1701061430,1.302860442,-75.23572732,3748,12128
18,460,MILÁN,18460,COLOMBIA - 18460,2018,1220575999,1.146692554,-75.38664764,2182,7507
18,479,MORELIA,18479,COLOMBIA - 18479,2018,462479590.7,1.38299611,-75.67381123,1233,3350
18,610,SAN JOSÉ DEL FRAGUA,18610,COLOMBIA - 18610,2018,1304769006,1.304702314,-76.11000594,3873,11364
18,860,VALPARAÍSO,18860,COLOMBIA - 18860,2018,1330210015,1.061292207,-75.62704767,1881,6082
18,150,CARTAGENA DEL CHAIRÁ,18150,COLOMBIA - 18150,2018,12785618789,0.647693081,-74.27235499,8175,27939
18,753,SAN VICENTE DEL CAGUÁN,18753,COLOMBIA - 18753,2018,17464634368,1.567801696,-74.26297751,12230,42390
18,756,SOLANO,18756,COLOMBIA - 18756,2018,42312783610,0.211280846,-73.1238679,2879,10331
18,785,SOLITA,18785,COLOMBIA - 18785,2018,476931472.9,0.909265457,-75.63840045,1724,5431
18,205,CURILLO,18205,COLOMBIA - 18205,2018,403358249.4,1.059663165,-75.95178506,2449,7518
18,592,PUERTO RICO,18592,COLOMBIA - 18592,2018,4146397160,2.018940891,-75.07308627,7665,24395
19,1,POPAYÁN,19001,COLOMBIA - 19001,2018,480179743.3,2.471704362,-76.59194419,96983,277270
19,22,ALMAGUER,19022,COLOMBIA - 19022,2018,236714830.8,1.912440521,-76.83494519,6632,16523
19,50,ARGELIA,19050,COLOMBIA - 19050,2018,775787826.1,2.329337283,-77.26314906,7690,20136
19,75,BALBOA,19075,COLOMBIA - 19075,2018,413211197.4,2.084732945,-77.2088133,7323,18910
19,100,BOLÍVAR,19100,COLOMBIA - 19100,2018,797820255.5,1.853951938,-76.96337454,13447,35837
19,110,BUENOS AIRES,19110,COLOMBIA - 19110,2018,435028798.7,3.045917783,-76.67901152,9090,25257
19,130,CAJIBÍO,19130,COLOMBIA - 19130,2018,552278611.7,2.643209848,-76.70138914,10692,32237
19,137,CALDONO,19137,COLOMBIA - 19137,2018,354738653.3,2.81032824,-76.46451612,10662,36139
19,142,CALOTO,19142,COLOMBIA - 19142,2018,266564588.3,3.045942277,-76.36638876,8923,25416
19,212,CORINTO,19212,COLOMBIA - 19212,2018,325915580.7,3.136753606,-76.20964569,7683,21975
19,290,FLORENCIA,19290,COLOMBIA - 19290,2018,56652636.31,1.69453474,-77.08735723,1858,5089
19,300,GUACHENÉ,19300,COLOMBIA - 19300,2018,98865802,3.144389993,-76.39234811,6576,18513
19,355,INZÁ,19355,COLOMBIA - 19355,2018,866312068.6,2.499058783,-76.13762531,9100,26571
19,364,JAMBALÓ,19364,COLOMBIA - 19364,2018,234447557.5,2.84981013,-76.31124919,5059,16353
19,392,LA SIERRA,19392,COLOMBIA - 19392,2018,208354419.9,2.187473572,-76.78228032,3704,9935
19,397,LA VEGA,19397,COLOMBIA - 19397,2018,516074880.7,2.053933426,-76.7588062,7537,19777
19,450,MERCADERES,19450,COLOMBIA - 19450,2018,697981385.3,1.793825164,-77.18060381,5830,14824
19,455,MIRANDA,19455,COLOMBIA - 19455,2018,189684313.6,3.228235212,-76.21670827,10160,28662
19,473,MORALES,19473,COLOMBIA - 19473,2018,511477727.5,2.81476547,-76.75096255,12282,29737
19,513,PADILLA,19513,COLOMBIA - 19513,2018,69683425.38,3.194730618,-76.3362418,3185,8763
19,517,PÁEZ,19517,COLOMBIA - 19517,2018,1793143888,2.733887702,-75.99368264,11655,37666
19,532,PATÍA,19532,COLOMBIA - 19532,2018,755291082.9,2.148165398,-77.05792708,11479,28586
19,533,PIAMONTE,19533,COLOMBIA - 19533,2018,1104751697,1.1523235,-76.30547252,2681,7125
19,548,PIENDAMÓ - TUNÍA,19548,COLOMBIA - 19548,2018,181269629.8,2.714457328,-76.56472086,12090,33431
19,573,PUERTO TEJADA,19573,COLOMBIA - 19573,2018,109123291.3,3.266724205,-76.41846353,12992,40244
19,585,PURACÉ,19585,COLOMBIA - 19585,2018,848323308.3,2.281775974,-76.37115636,5164,14952
19,622,ROSAS,19622,COLOMBIA - 19622,2018,169091744.5,2.250876765,-76.75292757,3487,9336
19,693,SAN SEBASTIÁN,19693,COLOMBIA - 19693,2018,419034904.5,1.856261815,-76.71652424,3902,9806
19,698,SANTANDER DE QUILICHAO,19698,COLOMBIA - 19698,2018,518197476.1,2.984467338,-76.49873145,31191,96032
19,701,SANTA ROSA,19701,COLOMBIA - 19701,2018,3619371026,1.52002179,-76.53876281,1638,5045
19,743,SILVIA,19743,COLOMBIA - 19743,2018,680991566.5,2.651291894,-76.35057356,10945,33508
19,760,SOTARÁ - PAISPAMBA,19760,COLOMBIA - 19760,2018,515944185.9,2.231820541,-76.61146633,4588,11958
19,780,SUÁREZ,19780,COLOMBIA - 19780,2018,392385708.8,2.936865997,-76.7458243,7809,19690
19,785,SUCRE,19785,COLOMBIA - 19785,2018,135873296.1,2.057735184,-76.90993965,2754,6201
19,807,TIMBÍO,19807,COLOMBIA - 19807,2018,201292702.2,2.369625312,-76.71051932,11265,32217
19,821,TORIBÍO,19821,COLOMBIA - 19821,2018,492141168.4,2.975771999,-76.20331566,10535,30654
19,824,TOTORÓ,19824,COLOMBIA - 19824,2018,404470459.4,2.504500247,-76.39047464,6918,20870
19,256,EL TAMBO,19256,COLOMBIA - 19256,2018,2739598906,2.534488312,-77.00511206,13812,38688
19,318,GUAPI,19318,COLOMBIA - 19318,2018,2567949271,2.41326696,-77.69047531,6624,24037
19,418,LÓPEZ DE MICAY,19418,COLOMBIA - 19418,2018,3367567364,3.001538964,-77.21841209,4074,15154
19,809,TIMBIQUÍ,19809,COLOMBIA - 19809,2018,2057706193,2.699475127,-77.49131577,6054,21618
19,845,VILLA RICA,19845,COLOMBIA - 19845,2018,81621620.48,3.180627317,-76.46445558,6420,18761
76,1,CALI,76001,COLOMBIA - 76001,2018,563040919.7,3.399043723,-76.57649259,611876,1822869
76,36,ANDALUCÍA,76036,COLOMBIA - 76036,2018,110460417.9,4.144853601,-76.16470461,6977,18132
76,41,ANSERMANUEVO,76041,COLOMBIA - 76041,2018,305451138.4,4.795927292,-76.02963049,5655,15668
